El partido de voleibol está en curso entre las damas	Mujeres participando en las finales de la competencia de tenis
El hombre compró solo	El hombre leyó solo afuera
La "chilena" es un género musical mexicano de la región de la Costa Chica, zona limítrofe entre los estados mexicanos del sur de Guerrero y Oaxaca, aunque su influencia se extiende a otras regiones cercanas del país.	La chilena surgió específicamente en lo que hoy comprende la Costa Chica de Guerrero y Oaxaca, en los distritos de Jamiltepec, Juquila y Pochutla; sin embargo, muy pronto se expandió por toda la zona que se conoce como la Costa Chica, que comprende los estados de Guerrero y de Oaxaca, y por sí misma constituye una región cultural dentro del complejísimo y disímil pero interconectado territorio cultural de Guerrero-Oaxaca.
El papa renuncia", le confirmó el portavoz de la oficina de prensa del Vaticano, Federico Lombardi.	Sí, creo que tendrá consecuencias para pontificados futuros", opinó el portavoz del Vaticano, Federico Lombardi, en diciembre.
El ex líder soviético Mijail Gorbachov, uno de los grandes responsables de la apertura del Telón de Acero, quiere interceder a favor del presidente ruso, Vladimir Putin, en su encuentro con la canciller alemana, Angela Merkel, con motivo del 25 aniversario de la caída del Muro de Berlín.	“Defenderé con firmeza a Rusia y a su presidente Vladimir Putin”, en el foro político que tendrá lugar el domingo al margen de las celebraciones en Berlín, declaró Gorbachov a la agencia rusa Interfax.
Una mezquita cerca de Ramala y una sinagoga en el norte de Israel son las últimas víctimas de la nueva ola de disturbios y ataques.	Una mezquita de Cisjordania y una antigua sinagoga en Israel fueron blanco, la pasada madrugada, de sendos ataques aparentemente cometidos por extremistas en el marco de violencia que sacude la región desde el pasado mes de junio.
La "Orden de San Jerónimo" (Latín: "Ordo Sancti Hieronymi"), (sigla "O.S.H.") es una orden religiosa católica de clausura monástica y de orientación puramente contemplativa que surgió en el siglo XIV.	La Orden de San Jerónimo es una orden contemplativa y se inspira en la vida de San Jerónimo como modelo para imitar a Jesucristo en su camino a la perfección.
La "Segunda Guerra Mundial" fue un conflicto militar global que se desarrolló entre 1939 y 1945.	La Segunda Guerra Mundial alteró las relaciones políticas y la estructura social del mundo.
Irán y la Agencia Internacional para la Energía Atómica pusieron fin hoy a las negociaciones nucleares con un nuevo acuerdo de cooperación de siete puntos.	Se espera que los nuevos puntos de acuerdo estén dirigidos a ampliar la transparencia del programa nuclear iraní.
Según ha explicado la ESA en un comunicado, los colores de la imagen se han alterado para estudiar los complejos procesos de la meteorología saturnina.	Los colores de esta imagen, centrada sobre una posición a 0° de longitud y 35° de latitud norte, se han alterado para estudiar los complejos procesos de la meteorología saturnina.
Una multitud se reúne para un discurso importante.	Una audiencia está reunida para una actuación
Si es aprobada por el Senado, Lynch sería la segunda mujer en ser la fiscal general del país y la primera mujer afroamericana en el cargo.	El caso ocurrió en el antiguo Hotel Sirhowy hacia las 01.23 GMT, desde donde la Policía fue informada de que un hombre identificado como Matthew Williams estaba atacando a una mujer, según esa fuerza de seguridad.
El "ajedrez" es un juego entre dos personas, cada una de las cuales dispone de 16 piezas móviles que se colocan sobre un tablero dividido en 64 escaques.	El ajedrez no es un juego de azar, sino un juego racional, ya que cada jugador decidirá el movimiento de sus piezas en cada turno.
Dos niños asiáticos lindos y bien vestidos están de pie al lado de un árbol.	Dos niñas pequeñas están felices.
En una terna con las candidatas de la izquierda, Santos obtendría el 42,1 % de los sufragios frente al 26,8 % de Clara López, mientras que Avella tan solo recogería el 16,8 % de los votos frente al 45,3 % del actual mandatario.	La composición de la nueva estrella muestra que se formó a raíz de una estrella primigenia que tenía 60 veces la masa del sol.
Igual de risueño, Amr paseaba con orgullo por la Mukata, a los pies del mausoleo, una bandera de Suecia, que destacaba entre los cientos de blasones de Al Fatah, escudos de la Organización para la Liberación de Palestina y enseñas nacionales palestinas.	"Nos han privado de este aniversario, pero la historia no perdonará a los que frenan el plan de Abu Amar para la liberación de Palestina".
Es un queso elaborado con leche de cabra y que en la actualidad es Denominación de Origen Protegida.	El Queso Ibores, tal y como lo conocemos hoy, se produce en la zona de ámbito de esta Denominación de Origen Protegida desde tiempos remotos.
Un niño hace una oración ante una vela encendida.	Una anciana está soplando las velas en su torta de cumpleaños de tres niveles.
"La llamada de Cthulhu" es un juego de rol de horror ambientado en los años veinte y en particular en los «mitos de Cthulhu», universo de ficción iniciado por el escritor estadounidense Howard Phillips Lovecraft.	"La llamada de Cthulhu" se apoya en los mitos de Cthulhu, el mundo creado por el escritor estadounidense Howard Phillips Lovecraft y un círculo de autores que se intercambiaban relatos entre ellos aproximadamente desde 1920 a 1930.
Como en la economía de todos los países europeos, el sector terciario o sector servicios es el que tiene un mayor peso.	De los crustáceos, la gamba, y de los moluscos el calamar y el pulpo.
Estados Unidos informó este domingo que Corea del Norte retiró la invitación para que un enviado especial visitara Pyongyang, con el objetivo de negociar la liberación de Kenneth Bae, el ciudadano estadounidense condenado a 15 años de trabajo forzado.	Agencia EFE | Febrero 10 de 2014 Corea del Norte Washington, 10 feb .- Corea del Norte canceló este domingo su invitación para que el enviado de Washington Robert King visitase Pyongyang con el fin de hablar sobre el ciudadano estadounidense Kenneth Bae, preso en el país desde 2012, informó el Departamento de Estado a la cadena CNN.
El nivel de las aguas del río Támesis está en su nivel más alto desde la década de 1980 debido a la intensidad de las lluvias de las últimas semanas en Inglaterra, informó este lunes la Agencia medioambiental británica.	El nivel de las aguas del río Támesis está en su nivel más alto desde los pasados años ochenta debido a la intensidad de las lluvias de las últimas semanas en Inglaterra, informó este lunes la Agencia medioambiental británica.
Sánchez Cerén y Quijano declararon este lunes por separado a la prensa que están abiertos aliarse con el movimiento Unidad para garantizarse el triunfo en la segunda vuelta que podría celebrarse el 9 de marzo próximo, aunque no ha sido oficializada por el TSE en espera del escrutinio definitivo.	Sánchez Cerén y Quijano declararon este lunes por separado a los periodistas que están abiertos a aliarse con Unidad para garantizarse el triunfo en la segunda vuelta, para la que todavía no hay fecha ya que falta el escrutinio definitivo.
Grupo Higa, a través de su filial Constructora Teya, integra el consorcio de empresas nacionales y extranjeras al que le fue revocada la licitación para construir el tren de alta velocidad México-Querétaro.	Grupo Higa está el nombre de la misma empresa a la que le fue retirada la licitación del tren rápido México-Querétaro.
Una marcha de docentes y estudiantes en Chilpancingo, capital de Guerrero, terminó con la sede del oficialista PRI incendiada.	La tensa marcha de maestros y estudiantes en Chilpancingo, capital de Guerrero, a 275 kms. de Ciudad de México, por la muerte de 43 estudiantes.
"JPEG" (del inglés "Joint Photographic Experts Group", Grupo Conjunto de Expertos en Fotografía) es el nombre de un comité de expertos que creó un estándar de compresión y codificación de archivos e imágenes fijas.	El formato JPEG utiliza habitualmente un algoritmo de compresión con pérdida para reducir el tamaño de los archivos de imágenes.
La calle "Prager Straße" o "Prager Strasse" de Dresde (Alemania) conecta la estación central de dicha ciudad con la plaza de Altmarkt y es la calle comercial por excelencia en la capital sajona.	"Quintanilla San García" es una localidad y un municipio situado en la provincia de Burgos, comunidad autónoma de Castilla y León (España), comarca de La Bureba, partido judicial de Briviesca, ayuntamiento del mismo nombre.
La gente está caminando a través de una estación.	Hay gente caminando en una calle muy concurrida.
La "quiromancia" o "quiromancía" es el intento de la adivinación a través de la lectura de las líneas de la mano.	Se suele decir que en las manos se puede conocer el destino de una persona y adivinar sucesos pasados, presentes y futuros.
En más de un mes de investigación el EAAF ha intervenido en exhumaciones de dos de treinta restos recuperados en Cerro Viejo y en la recuperación de uno de los nueve restos hallados por las autoridades mexicanas en la localidad de La Parota/Cerro de Lomas de Zapatero.	Además, el EAAF ha sido autorizado por PGR para trabajar en el examen forense de la totalidad de los restos recuperados en dicho sitio.
Hasta la tarde de este domingo, un récord de 33 centímetros de nieve habían caído en Chiba, al este de Tokio, el nivel más alto desde que comenzaron a tomarse los registros de las nevadas en 1966, según un reporte de la agencia estatal de noticias Kyodo.	Un manto blanco de 27 cm de espesor recubrió Tokio, algo que no ocurría desde hacía 45 años, según la agencia de meteorología japonesa.
